stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,wheelchair_boarding
8916,58491,Northbound Commercial Dr @ N Grandview Hwy,,49.26342,-123.069582,BUS ZN,https://translink.ca/schedules-and-maps/stop/58491/schedule?utm_source=referral&utm_medium=google+maps&utm_campaign=gtfs&utm_content=schedules_stop&utm_term=58491,0,,1
898,50891,Eastbound E Broadway @ Nanaimo St,,49.261889,-123.055558,BUS ZN,https://translink.ca/schedules-and-maps/stop/50891/schedule?utm_source=referral&utm_medium=google+maps&utm_campaign=gtfs&utm_content=schedules_stop&utm_term=50891,0,,1
899,50892,Eastbound E Broadway @ Penticton St,,49.261916,-123.051333,BUS ZN,https://translink.ca/schedules-and-maps/stop/50892/schedule?utm_source=referral&utm_medium=google+maps&utm_campaign=gtfs&utm_content=schedules_stop&utm_term=50892,0,,1
902,50895,Eastbound E Broadway @ Renfrew St,,49.261812,-123.043749,BUS ZN,https://translink.ca/schedules-and-maps/stop/50895/schedule?utm_source=referral&utm_medium=google+maps&utm_campaign=gtfs&utm_content=schedules_stop&utm_term=50895,0,,1
9051,58499,Eastbound E Broadway @ Clark Dr,,49.262263,-123.076191,BUS ZN,https://translink.ca/schedules-and-maps/stop/58499/schedule?utm_source=referral&utm_medium=google+maps&utm_campaign=gtfs&utm_content=schedules_stop&utm_term=58499,0,,1
906,50899,Eastbound E Broadway @ Rupert St,,49.261781,-123.033192,BUS ZN,https://translink.ca/schedules-and-maps/stop/50899/schedule?utm_source=referral&utm_medium=google+maps&utm_campaign=gtfs&utm_content=schedules_stop&utm_term=50899,0,,1
911,50904,Westbound E Broadway @ Rupert St,,49.262009,-123.034312,BUS ZN,https://translink.ca/schedules-and-maps/stop/50904/schedule?utm_source=referral&utm_medium=google+maps&utm_campaign=gtfs&utm_content=schedules_stop&utm_term=50904,0,,1
915,50907,Westbound E Broadway @ Renfrew St,,49.262097,-123.044962,BUS ZN,https://translink.ca/schedules-and-maps/stop/50907/schedule?utm_source=referral&utm_medium=google+maps&utm_campaign=gtfs&utm_content=schedules_stop&utm_term=50907,0,,1
917,50909,Westbound E Broadway @ Penticton St,,49.262111,-123.051889,BUS ZN,https://translink.ca/schedules-and-maps/stop/50909/schedule?utm_source=referral&utm_medium=google+maps&utm_campaign=gtfs&utm_content=schedules_stop&utm_term=50909,0,,1
924,50916,Westbound E Broadway @ Clark Dr,,49.262499,-123.078554,BUS ZN,https://translink.ca/schedules-and-maps/stop/50916/schedule?utm_source=referral&utm_medium=google+maps&utm_campaign=gtfs&utm_content=schedules_stop&utm_term=50916,0,,1
934,50926,Westbound W Broadway @ Willow St,,49.263433,-123.122318,BUS ZN,https://translink.ca/schedules-and-maps/stop/50926/schedule?utm_source=referral&utm_medium=google+maps&utm_campaign=gtfs&utm_content=schedules_stop&utm_term=50926,0,,1
9530,58037,Eastbound W Broadway @ Alma St,,49.264263,-123.184623,BUS ZN,https://translink.ca/schedules-and-maps/stop/58037/schedule?utm_source=referral&utm_medium=google+maps&utm_campaign=gtfs&utm_content=schedules_stop&utm_term=58037,0,,1
